bubbleRating,category,detailUrl,entityType,experiencesCtaEncodedLink,experiencesCtaNumOffers,experiencesCtaStartingCost,id,name,numReviews,openHours,latitude,longitude,count_review,lang_review,,,,,
45,"Исторические достопримечательности, Культурные объекты и достопримечательности",/Attraction_Review-g298484-d300366-Reviews-Red_Square-Moscow_Central_Russia.html,attraction,,0,,300366,Красная площадь,20505,,55.75469589,37.621521,20505,Русский(6 908)Английский(6 532)Испанский(1 877),Русский6 908,Английский6 532,Испанский1 877,,
45,"Архитектурные достопримечательности, Системы общественного транспорта",/Attraction_Review-g298484-d300623-Reviews-Moscow_Metro-Moscow_Central_Russia.html,attraction,,0,,300623,Московский Метрополитен,16985,,55.75582504,37.61729813,16985,Английский(6 177)Русский(5 446)Итальянский(1 207),Английский6 177,Русский5 446,Итальянский1 207,,
45,Церкви и соборы,/Attraction_Review-g298484-d300367-Reviews-Saint_Basil_s_Cathedral-Moscow_Central_Russia.html,attraction,,0,,300367,Собо?р Васи?лия Блаже?нного,12368,10:00 - 19:00,55.75247955,37.62320328,12368,Английский(4 981)Русский(2 561)Испанский(1 367),Английский4 981,Русский2 561,Испанский1 367,,
45,"Специализированные музеи, Исторические достопримечательности",/Attraction_Review-g298484-d300392-Reviews-Moscow_Kremlin-Moscow_Central_Russia.html,attraction,,0,,300392,Московский Кремль,7889,10:00 - 17:00,55.75217819,37.617939,7889,Английский(2 813)Русский(1 731)Испанский(918),Английский2 813,Русский1 731,Испанский918,,
45,Железные дороги,/Attraction_Review-g298484-d2263785-Reviews-High_Speed_Train_Sapsan-Moscow_Central_Russia.html,attraction,,0,,2263785,Скоростной поезд Сапсан,6105,,55.77637863,37.6551857,6105,Русский(3 355)Английский(1 728)Испанский(275),Русский3 355,Английский1 728,Испанский275,,
45,"Архитектурные достопримечательности, Универмаги",/Attraction_Review-g298484-d301631-Reviews-GUM-Moscow_Central_Russia.html,attraction,,0,,301631,"Универмаг ""ГУМ""",5956,,55.75444031,37.6210556,5956,Английский(1 987)Русский(1 910)Итальянский(408),Английский1 987,Русский1 910,Итальянский408,,
50,Музеи искусств,/Attraction_Review-g298484-d300237-Reviews-State_Tretyakov_Gallery-Moscow_Central_Russia.html,attraction,,0,,300237,Государственная Третьяковская Галерея,5886,10:00 - 18:00,55.7414856,37.62034607,5886,Русский(3 610)Английский(1 299)Итальянский(214),Русский3 610,Английский1 299,Итальянский214,,
45,Специализированные музеи,/Attraction_Review-g298484-d524791-Reviews-Tsaritsyno_Museum_Reserve-Moscow_Central_Russia.html,attraction,,0,,524791,Царицыно Музей-Заповедник,3937,,55.61169052,37.68614578,3937,Русский(3 441)Английский(309)Китайский (упрощ.)(80),Русский3 441,Английский309,Китайский упрощ.,(80,
45,"Военные музеи, Музеи искусств, Исторические музеи",/Attraction_Review-g298484-d300396-Reviews-Armoury_Chamber-Moscow_Central_Russia.html,attraction,,0,,300396,Оружейная палата,3932,10:00 - 17:30,55.7494545,37.61368942,3932,Английский(1 708)Русский(1 193)Итальянский(253),Английский1 708,Русский1 193,Итальянский253,,
45,"Архитектурные достопримечательности, Театры",/Attraction_Review-g298484-d302506-Reviews-Bolshoi_Theatre-Moscow_Central_Russia.html,attraction,,0,,302506,Большой театр,3861,,55.75910187,37.61719131,3861,Русский(1 556)Английский(1 251)Португальский(260),Русский1 556,Английский1 251,Португальский260,,
50,,/Attraction_Review-g298484-d2196855-Reviews-Moscow_Free_Tour-Moscow_Central_Russia.html,attraction,,0,,2196855,Moscow Free Tour,3623,10:00 - 22:00,55.75920105,37.6248703,3623,Английский(3 079)Испанский(149)Русский(86),Английский3 079,Испанский149,Русский86,,
45,"Исторические достопримечательности, Архитектурные достопримечательности",/Attraction_Review-g298484-d547719-Reviews-Kremlin_Walls_and_Towers-Moscow_Central_Russia.html,attraction,,0,,547719,Стены и башни Московского Кремля,2881,,55.75122833,37.60649872,2881,Английский(1 190)Русский(767)Португальский(195),Английский1 190,Русский767,Португальский195,,
45,Парки,/Attraction_Review-g298484-d300383-Reviews-Gorkiy_Central_Park_of_Culture_and_Recreation-Moscow_Central_Russia.html,attraction,,0,,300383,Центральный парк культуры и отдыха им. Горького,2773,,55.73062134,37.6115036,2773,Русский(1 473)Английский(769)Испанский(140),Русский1 473,Английский769,Испанский140,,
45,"Специализированные музеи, Исторические достопримечательности",/Attraction_Review-g298484-d300345-Reviews-Kolomenskoye_Historical_and_Architectural_Museum_and_Reserve-Moscow_Central_Russia.html,attraction,,0,,300345,"Московский Государственный Объединенный Музей-Заповедник ""Коломенское""",2637,9:00 - 19:00,55.695961,37.66495132,2637,Русский(1 992)Английский(348)Китайский (упрощ.)(74),Русский1 992,Английский348,Китайский упрощ.,(74,
45,Парки,/Attraction_Review-g298484-d314366-Reviews-Sparrow_Hills_Vorobyovy_Gory-Moscow_Central_Russia.html,attraction,,0,,314366,Воробьевы горы,2180,,55.70679092,37.55649185,2180,Русский(1 482)Английский(429)Китайский (упрощ.)(64),Русский1 482,Английский429,Китайский упрощ.,(64,
45,Церкви и соборы,/Attraction_Review-g298484-d541859-Reviews-Cathedral_of_Christ_the_Saviour-Moscow_Central_Russia.html,attraction,,0,,541859,Храм Христа Спасителя,2153,9:00 - 19:00,55.74855042,37.60852051,2153,Русский(781)Английский(651)Испанский(182),Русский781,Английский651,Испанский182,,
45,Научные музеи,/Attraction_Review-g298484-d536428-Reviews-The_Museum_of_Cosmonautics-Moscow_Central_Russia.html,attraction,,0,,536428,Музей космонавтики,2109,10:00 - 19:00,55.82326126,37.63986969,2109,Русский(760)Английский(675)Испанский(186),Русский760,Английский675,Испанский186,,
45,Смотровые площадки и башни,/Attraction_Review-g298484-d668919-Reviews-Observation_Deck_PANORAMA360-Moscow_Central_Russia.html,attraction,,0,,668919,Смотровая площадка Panorama360,2107,10:00 - 23:00,55.75003052,37.53786087,2107,Русский(1 888)Английский(127)Испанский(20),Русский1 888,Английский127,Испанский20,,
50,,/Attraction_Review-g298484-d6775013-Reviews-Moscow_through_the_Eyes_of_an_Engineer-Moscow_Central_Russia.html,attraction,,0,,6775013,Москва глазами инженера,2026,,55.75616837,37.62094879,2026,Русский(2 005)Английский(20)Немецкий(1),Русский2 005,Английский20,Немецкий1,,
45,Сады,/Attraction_Review-g298484-d2467468-Reviews-Aptekarskiy_Ogorod_Botanical_Garden-Moscow_Central_Russia.html,attraction,,0,,2467468,"Ботанический Сад МГУ ""Аптекарский Огород""",1951,,55.77510834,37.63225174,1951,Русский(1 818)Английский(90)Португальский(9),Русский1 818,Английский90,Португальский9,,
45,"Культурные объекты и достопримечательности, Архитектурные достопримечательности",/Attraction_Review-g298484-d524833-Reviews-The_Exhibition_of_Achievements_of_National_Economy_VDNKh-Moscow_Central_Russia.html,attraction,,0,,524833,Выставка достижений народного хозяйства (ВДНХ),1810,9:00 - 23:00,55.82878494,37.6337204,1810,Русский(1 374)Английский(234)Китайский (упрощ.)(53),Русский1 374,Английский234,Китайский упрощ.,(53,
45,Музеи искусств,/Attraction_Review-g298484-d300242-Reviews-Pushkin_State_Museum_of_Fine_Arts-Moscow_Central_Russia.html,attraction,,0,,300242,Государственный музей изобразительных искусств им. А.С. Пушкина,1807,11:00 - 20:00,55.74729919,37.60525894,1807,Русский(989)Английский(474)Итальянский(88),Русский989,Английский474,Итальянский88,,
45,Специализированные музеи,/Attraction_Review-g298484-d302509-Reviews-Diamond_Fund_Almazny_Fond-Moscow_Central_Russia.html,attraction,,0,,302509,Алмазный Фонд,1803,,55.74944305,37.61386108,1803,Русский(928)Английский(562)Испанский(78),Русский928,Английский562,Испанский78,,
45,"Исторические достопримечательности, Архитектурные достопримечательности, Кладбища",/Attraction_Review-g298484-d300347-Reviews-Our_Lady_of_Smolensk_Novodevichy_Convent-Moscow_Central_Russia.html,attraction,,0,,300347,Богородице-Смоленский Новодевичий монастырь,1794,7:00 - 19:00,55.72763443,37.55993271,1794,Русский(662)Английский(488)Итальянский(151),Русский662,Английский488,Итальянский151,,
40,Океанариумы,/Attraction_Review-g298484-d8514577-Reviews-Moskvarium-Moscow_Central_Russia.html,attraction,,0,,8514577,Москвариум,1595,10:00 - 22:00,55.83303452,37.61861801,1595,Русский(1 488)Английский(58)Китайский (традиц.)(15),Русский1 488,Английский58,Китайский традиц.,(15,
40,"Культурные объекты и достопримечательности, Исторические места для прогулок, Блошиные и уличные рынки",/Attraction_Review-g298484-d300368-Reviews-Old_Arbat_Stary_Arbat-Moscow_Central_Russia.html,attraction,,0,,300368,Старый Арбат,1562,,55.74900818,37.5899086,1562,Русский(650)Английский(431)Итальянский(109),Русский650,Английский431,Итальянский109,,
45,"Архитектурные достопримечательности, Образовательные объекты",/Attraction_Review-g298484-d536619-Reviews-Lomonosov_Moscow_State_University_MGU-Moscow_Central_Russia.html,attraction,,0,,536619,Московский государственный университет имени М.В.Ломоносова,1476,,55.70393753,37.52866745,1476,Русский(660)Английский(348)Испанский(139),Русский660,Английский348,Испанский139,,
40,"Исторические достопримечательности, Культурные объекты и достопримечательности, Архитектурные достопримечательности",/Attraction_Review-g298484-d301574-Reviews-Lenin_s_Mausoleum-Moscow_Central_Russia.html,attraction,,0,,301574,Мавзолей Ленина,1359,10:00 - 13:00,55.75217819,37.62358856,1359,Английский(555)Русский(332)Итальянский(101),Английский555,Русский332,Итальянский101,,
35,Зоопарки,/Attraction_Review-g298484-d300374-Reviews-Moscow_Zoo-Moscow_Central_Russia.html,attraction,,0,,300374,Московский зоопарк,1324,7:30 - 20:00,55.7639389,37.57764816,1324,Русский(1 110)Английский(145)Китайский (упрощ.)(27),Русский1 110,Английский145,Китайский упрощ.,(27,
50,,/Attraction_Review-g298484-d2173371-Reviews-Moscow_Private_Tours-Moscow_Central_Russia.html,attraction,,0,,2173371,Частные туры по Москве,1283,9:00 - 22:00,55.75520706,37.62030029,1283,Английский(1 042)Португальский(65)Русский(31),Английский1 042,Португальский65,Русский31,,
50,Кулинарные мастер-классы,/Attraction_Review-g298484-d4074811-Reviews-Culinary_Studio_CulinaryOn-Moscow_Central_Russia.html,attraction,,0,,4074811,Кулинарная студия CulinaryOn,1207,10:00 - 0:00,55.75780487,37.58269501,1207,Русский(1 158)Английский(43)Итальянский(4),Русский1 158,Английский43,Итальянский4,,
45,Сады,/Attraction_Review-g298484-d530940-Reviews-Aleksandrovskiy_Sad-Moscow_Central_Russia.html,attraction,,0,,530940,Александровский сад,1127,,55.75527954,37.61582184,1127,Русский(602)Английский(223)Испанский(85),Русский602,Английский223,Испанский85,,
45,Музеи искусств,/Attraction_Review-g298484-d300583-Reviews-New_Tretyakov_Gallery-Moscow_Central_Russia.html,attraction,,0,,300583,Новая Третьяковка,1120,10:00 - 18:00,55.73506927,37.60638809,1120,Русский(721)Английский(216)Испанский(40),Русский721,Английский216,Испанский40,,
45,,/Attraction_Review-g298484-d1641282-Reviews-Flotilla_Radisson_Royal-Moscow_Central_Russia.html,attraction,,0,,1641282,Флотилия Рэдиссон Ройал,1080,,55.7519989,37.56983948,1080,Русский(624)Английский(267)Итальянский(57),Русский624,Английский267,Итальянский57,,
45,Парки,/Attraction_Review-g298484-d300387-Reviews-Victory_Park-Moscow_Central_Russia.html,attraction,,0,,300387,Парк Победы,1070,,55.7309494,37.51377869,1070,Русский(610)Английский(265)Испанский(56),Русский610,Английский265,Испанский56,,
40,Блошиные и уличные рынки,/Attraction_Review-g298484-d300378-Reviews-Izmailovsky_Market-Moscow_Central_Russia.html,attraction,,0,,300378,Измайловский рынок,1042,9:00 - 18:00,55.79423904,37.75077438,1042,Английский(490)Испанский(110)Русский(91),Английский490,Испанский110,Русский91,,
